amount,merchant,description,category
7242.33,Uber,Movie night,Transport
5476.32,BWSSB,Doctor appointment,Utilities
12518.39,SBI,Flight booking,Rent
18181.79,Cleartrip,Flight booking,Travel
4744.61,Microsoft,Tuition fees,Other
18876.95,Google,Pharmacy order,Other
16377.79,Hotstar,Movie night,Entertainment
18470.89,Myntra,Streaming subscription,Shopping
7042.41,Uber,Grocery shopping,Transport
6254.28,Paytm,Tuition fees,Rent
9300.18,Apollo,Tuition fees,Health
7732.87,Rapido,Weekend trip,Transport
7616.27,MakeMyTrip,Monthly bill,Travel
19226.48,Paytm,Weekend trip,Rent
15875.15,HDFC Bank,Pharmacy order,Rent
7570.32,Uber,Electricity bill,Transport
16374.44,Hotstar,Cab ride,Entertainment
14558.31,Coursera,Streaming subscription,Education
17989.3,BWSSB,Recharge,Utilities
6364.26,Ajio,Flight booking,Shopping
3038.2,ICICI Bank,Electricity bill,Rent
19541.51,Tata,Electricity bill,Other
3032.81,BookMyShow,Cab ride,Entertainment
18121.99,Spotify,Doctor appointment,Entertainment
4860.92,Udemy,Movie night,Education
4157.09,Ola,Grocery shopping,Transport
5346.07,Flipkart,Electricity bill,Shopping
10211.71,Google,Weekend trip,Other
7152.37,Microsoft,Rent payment,Other
12390.49,BWSSB,Streaming subscription,Utilities
1272.92,Goibibo,Pharmacy order,Travel
15720.31,HDFC Bank,Cab ride,Rent
16740.08,Ola,Flight booking,Transport
9788.84,Paytm,Lunch,Rent
10052.84,Unacademy,Lunch,Education
6294.21,ICICI Bank,Online purchase,Rent
18974.46,Udemy,Pharmacy order,Education
19082.14,ICICI Bank,Online purchase,Rent
9253.22,Ola,Doctor appointment,Transport
5306.37,Netflix,Tuition fees,Entertainment
19549.53,Spotify,Electricity bill,Entertainment
8274.33,Zomato,Doctor appointment,Food
14107.72,Jio,Tuition fees,Utilities
4088.58,Byju's,Streaming subscription,Education
5156.52,Apple,Dinner,Other
5768.67,Jio,Doctor appointment,Utilities
824.12,Udemy,Weekend trip,Education
16009.27,1mg,Recharge,Health
19704.53,Microsoft,Doctor appointment,Other
3287.88,Google,Grocery shopping,Other
16715.27,BookMyShow,Movie night,Entertainment
14724.99,HDFC Bank,Doctor appointment,Rent
13774.37,Apollo,Flight booking,Health
8029.72,1mg,Doctor appointment,Health
1183.85,Zomato,Grocery shopping,Food
14167.4,Rapido,Recharge,Transport
16968.32,Tata,Streaming subscription,Other
17759.88,Paytm,Dinner,Rent
7361.02,McDonald's,Electricity bill,Food
3195.47,1mg,Flight booking,Health
7575.23,Zomato,Doctor appointment,Food
8269.63,Microsoft,Streaming subscription,Other
6502.89,McDonald's,Rent payment,Food
19508.19,Rapido,Monthly bill,Transport
18417.03,Flipkart,Electricity bill,Shopping
3898.67,Tata,Rent payment,Other
8504.4,Zomato,Pharmacy order,Food
3166.39,Flipkart,Lunch,Shopping
10519.69,KFC,Monthly bill,Food
2277.0,Swiggy,Movie night,Food
8810.9,Ajio,Recharge,Shopping
12178.98,Flipkart,Weekend trip,Shopping
1528.3,Goibibo,Weekend trip,Travel
12691.31,BookMyShow,Electricity bill,Entertainment
5359.39,Myntra,Weekend trip,Shopping
8344.62,ICICI Bank,Pharmacy order,Rent
16844.89,BESCOM,Doctor appointment,Utilities
7526.14,MakeMyTrip,Weekend trip,Travel
6986.35,KFC,Online purchase,Food
9209.2,McDonald's,Rent payment,Food
6539.47,Tata,Pharmacy order,Other
9489.7,Swiggy,Doctor appointment,Food
4526.67,Jio,Weekend trip,Utilities
800.96,PharmEasy,Recharge,Health
12885.76,ICICI Bank,Dinner,Rent
2042.08,1mg,Dinner,Health
323.82,Zomato,Grocery shopping,Food
320.58,Apollo,Monthly bill,Health
16983.34,Google,Dinner,Other
5592.56,Uber,Online purchase,Transport
18613.52,Swiggy,Rent payment,Food
15803.8,MakeMyTrip,Pharmacy order,Travel
18590.37,Netflix,Recharge,Entertainment
15244.0,Goibibo,Streaming subscription,Travel
1944.95,BWSSB,Flight booking,Utilities
10980.74,Unacademy,Flight booking,Education
18435.09,PharmEasy,Recharge,Health
11922.91,Amazon,Lunch,Shopping
13995.27,Rapido,Electricity bill,Transport
19347.64,RedBus,Grocery shopping,Transport
1005.49,MedPlus,Online purchase,Health
5632.02,Jio,Electricity bill,Utilities
17850.69,Flipkart,Rent payment,Shopping
10526.07,IRCTC,Weekend trip,Travel
205.16,RedBus,Dinner,Transport
5357.96,Spotify,Grocery shopping,Entertainment
2774.26,SBI,Recharge,Rent
873.08,Coursera,Weekend trip,Education
5543.36,BESCOM,Electricity bill,Utilities
12085.07,Apollo,Cab ride,Health
4832.57,Ola,Pharmacy order,Transport
11064.07,Apollo,Streaming subscription,Health
12033.99,ICICI Bank,Lunch,Rent
14153.39,Paytm,Pharmacy order,Rent
2903.15,HDFC Bank,Recharge,Rent
13594.31,IRCTC,Movie night,Travel
11309.59,Paytm,Doctor appointment,Rent
13461.41,BESCOM,Recharge,Utilities
11935.06,Flipkart,Rent payment,Shopping
17118.77,BWSSB,Flight booking,Utilities
17143.97,McDonald's,Flight booking,Food
8742.05,Google,Recharge,Other
11013.15,RedBus,Rent payment,Transport
19370.23,Cleartrip,Electricity bill,Travel
4923.38,BookMyShow,Electricity bill,Entertainment
11138.1,Airtel,Tuition fees,Utilities
6668.84,Goibibo,Monthly bill,Travel
4485.22,Cleartrip,Weekend trip,Travel
8031.33,Google,Flight booking,Other
10886.92,IRCTC,Recharge,Travel
12736.96,RedBus,Electricity bill,Transport
18297.89,Paytm,Monthly bill,Rent
6433.02,IRCTC,Lunch,Travel
15154.68,Apollo,Recharge,Health
1704.99,BookMyShow,Monthly bill,Entertainment
16036.35,Flipkart,Doctor appointment,Shopping
4864.48,Uber,Cab ride,Transport
1234.49,MedPlus,Lunch,Health
15241.51,Apollo,Recharge,Health
12504.64,BWSSB,Lunch,Utilities
7737.99,Hotstar,Dinner,Entertainment
5743.12,BWSSB,Weekend trip,Utilities
2780.38,Rapido,Tuition fees,Transport
6243.05,BWSSB,Flight booking,Utilities
5226.56,Flipkart,Doctor appointment,Shopping
17294.18,Myntra,Pharmacy order,Shopping
19784.86,BWSSB,Movie night,Utilities
9046.57,BESCOM,Online purchase,Utilities
9739.09,RedBus,Streaming subscription,Transport
9792.17,Netflix,Grocery shopping,Entertainment
16679.71,BookMyShow,Lunch,Entertainment
17939.69,Zomato,Monthly bill,Food
12424.51,Flipkart,Flight booking,Shopping
5924.27,ICICI Bank,Electricity bill,Rent
4123.35,Unacademy,Rent payment,Education
6864.9,BESCOM,Cab ride,Utilities
15105.37,Apple,Movie night,Other
13244.25,Amazon,Flight booking,Shopping
18688.28,BWSSB,Tuition fees,Utilities
14357.03,Netflix,Flight booking,Entertainment
8635.25,Coursera,Dinner,Education
14832.19,SBI,Flight booking,Rent
601.66,Paytm,Streaming subscription,Rent
15248.68,IRCTC,Dinner,Travel
6100.02,Domino's,Lunch,Food
13472.09,Microsoft,Flight booking,Other
4732.76,BookMyShow,Doctor appointment,Entertainment
3216.91,Goibibo,Electricity bill,Travel
3764.31,Google,Flight booking,Other
475.49,1mg,Movie night,Health
12537.18,Spotify,Pharmacy order,Entertainment
17868.16,Tata,Dinner,Other
14331.46,Ajio,Rent payment,Shopping
6819.16,Uber,Electricity bill,Transport
15534.12,Zomato,Tuition fees,Food
14110.8,SBI,Online purchase,Rent
13348.95,BookMyShow,Dinner,Entertainment
7832.48,BookMyShow,Movie night,Entertainment
184.42,Domino's,Rent payment,Food
1851.08,Coursera,Dinner,Education
16642.83,Byju's,Recharge,Education
15861.95,Byju's,Doctor appointment,Education
17107.96,McDonald's,Weekend trip,Food
3206.27,Apollo,Grocery shopping,Health
3052.94,Coursera,Dinner,Education
9073.99,MakeMyTrip,Streaming subscription,Travel
10938.6,BookMyShow,Cab ride,Entertainment
15084.27,Goibibo,Tuition fees,Travel
18665.34,Tata,Rent payment,Other
14637.6,Airtel,Movie night,Utilities
13971.39,Uber,Monthly bill,Transport
15320.68,Ajio,Weekend trip,Shopping
11000.34,Udemy,Grocery shopping,Education
4134.44,McDonald's,Rent payment,Food
1733.65,Cleartrip,Recharge,Travel
8014.3,RedBus,Doctor appointment,Transport
19401.17,Uber,Electricity bill,Transport
4545.22,Coursera,Monthly bill,Education
17296.47,Flipkart,Movie night,Shopping
19695.26,Apollo,Grocery shopping,Health
12908.66,BESCOM,Dinner,Utilities
5223.07,Domino's,Doctor appointment,Food
7647.75,BESCOM,Tuition fees,Utilities
4459.23,Flipkart,Tuition fees,Shopping
12307.12,BookMyShow,Electricity bill,Entertainment
13170.82,ICICI Bank,Streaming subscription,Rent
18403.73,BWSSB,Flight booking,Utilities
19552.22,1mg,Pharmacy order,Health
14201.77,Myntra,Tuition fees,Shopping
18829.3,1mg,Cab ride,Health
12454.46,PharmEasy,Weekend trip,Health
5581.55,Cleartrip,Movie night,Travel
8604.44,Zomato,Cab ride,Food
3553.81,Uber,Dinner,Transport
14517.84,Cleartrip,Recharge,Travel
9916.88,Goibibo,Rent payment,Travel
11602.82,Unacademy,Dinner,Education
17211.66,Goibibo,Movie night,Travel
6137.9,McDonald's,Grocery shopping,Food
8797.95,MedPlus,Electricity bill,Health
7660.62,Airtel,Monthly bill,Utilities
11788.24,Swiggy,Monthly bill,Food
19036.98,Microsoft,Movie night,Other
14148.55,Swiggy,Tuition fees,Food
17641.58,1mg,Monthly bill,Health
9481.32,Cleartrip,Streaming subscription,Travel
13057.36,Myntra,Flight booking,Shopping
3494.75,Byju's,Cab ride,Education
14910.76,HDFC Bank,Weekend trip,Rent
4008.5,Byju's,Dinner,Education
2134.29,Myntra,Lunch,Shopping
15298.66,Zomato,Doctor appointment,Food
7923.76,Google,Pharmacy order,Other
13169.66,Byju's,Lunch,Education
16824.43,Jio,Tuition fees,Utilities
13170.68,Spotify,Doctor appointment,Entertainment
9601.85,HDFC Bank,Flight booking,Rent
11932.04,Ola,Online purchase,Transport
15921.2,Spotify,Rent payment,Entertainment
4399.11,Paytm,Online purchase,Rent
15588.14,SBI,Recharge,Rent
3645.24,Airtel,Grocery shopping,Utilities
944.58,BookMyShow,Doctor appointment,Entertainment
8315.84,Swiggy,Lunch,Food
16907.11,Coursera,Rent payment,Education
6910.9,Uber,Streaming subscription,Transport
17951.4,MedPlus,Monthly bill,Health
15148.27,Ola,Grocery shopping,Transport
1725.78,BWSSB,Cab ride,Utilities
8329.0,Jio,Monthly bill,Utilities
9796.54,Uber,Cab ride,Transport
8109.51,IRCTC,Weekend trip,Travel
17932.02,BookMyShow,Flight booking,Entertainment
5933.58,Byju's,Movie night,Education
8222.96,Myntra,Monthly bill,Shopping
5906.87,Jio,Streaming subscription,Utilities
16791.82,Cleartrip,Tuition fees,Travel
3738.25,Netflix,Grocery shopping,Entertainment
5107.98,HDFC Bank,Monthly bill,Rent
9465.85,ICICI Bank,Flight booking,Rent
18806.78,Myntra,Lunch,Shopping
19565.45,Amazon,Tuition fees,Shopping
12784.45,Myntra,Tuition fees,Shopping
13808.49,Rapido,Pharmacy order,Transport
759.26,Rapido,Dinner,Transport
18736.05,Tata,Recharge,Other
9241.3,Domino's,Rent payment,Food
15280.59,Ola,Electricity bill,Transport
4785.38,Byju's,Monthly bill,Education
19886.25,Airtel,Doctor appointment,Utilities
7393.86,Spotify,Streaming subscription,Entertainment
6154.36,Google,Lunch,Other
18717.84,HDFC Bank,Online purchase,Rent
14946.04,Google,Monthly bill,Other
19823.07,Apollo,Pharmacy order,Health
18536.06,Spotify,Recharge,Entertainment
236.95,McDonald's,Rent payment,Food
4269.86,Tata,Online purchase,Other
19310.32,BESCOM,Dinner,Utilities
6861.41,Ajio,Cab ride,Shopping
7483.45,Goibibo,Rent payment,Travel
3590.08,Zomato,Dinner,Food
9576.23,Netflix,Grocery shopping,Entertainment
14810.51,RedBus,Movie night,Transport
12069.15,Byju's,Online purchase,Education
7537.08,Swiggy,Recharge,Food
10472.79,Goibibo,Streaming subscription,Travel
11921.17,Amazon,Electricity bill,Shopping
13282.59,PharmEasy,Tuition fees,Health
13032.6,Airtel,Electricity bill,Utilities
1063.35,RedBus,Rent payment,Transport
7967.84,Udemy,Electricity bill,Education
1561.73,Airtel,Tuition fees,Utilities
6479.77,Paytm,Lunch,Rent
1599.32,KFC,Rent payment,Food
15594.68,ICICI Bank,Movie night,Rent
5492.7,Byju's,Monthly bill,Education
9809.96,Goibibo,Rent payment,Travel
13608.44,Hotstar,Electricity bill,Entertainment
18961.02,Byju's,Cab ride,Education
16315.77,Spotify,Flight booking,Entertainment
13835.11,Ola,Streaming subscription,Transport
9968.74,BookMyShow,Tuition fees,Entertainment
17525.27,BookMyShow,Doctor appointment,Entertainment
8849.9,BESCOM,Cab ride,Utilities
15863.15,Ola,Cab ride,Transport
4776.54,BookMyShow,Grocery shopping,Entertainment
19176.05,BookMyShow,Tuition fees,Entertainment
7470.19,Ola,Doctor appointment,Transport
3412.09,Hotstar,Monthly bill,Entertainment
1315.74,Netflix,Lunch,Entertainment
10717.54,PharmEasy,Lunch,Health
17077.84,Apple,Grocery shopping,Other
8123.3,HDFC Bank,Recharge,Rent
15944.07,Udemy,Dinner,Education
18999.18,Zomato,Flight booking,Food
3780.97,BWSSB,Movie night,Utilities
6433.9,BESCOM,Dinner,Utilities
7754.89,IRCTC,Lunch,Travel
7887.35,Airtel,Recharge,Utilities
5466.86,Byju's,Electricity bill,Education
2816.12,Microsoft,Cab ride,Other
2628.21,Flipkart,Tuition fees,Shopping
6107.69,Spotify,Lunch,Entertainment
11064.45,MedPlus,Movie night,Health
10608.41,ICICI Bank,Lunch,Rent
9136.78,Swiggy,Online purchase,Food
15444.87,BookMyShow,Doctor appointment,Entertainment
3959.23,Unacademy,Tuition fees,Education
3949.18,BWSSB,Tuition fees,Utilities
5108.04,BookMyShow,Monthly bill,Entertainment
1431.71,BookMyShow,Pharmacy order,Entertainment
3525.64,Unacademy,Electricity bill,Education
3785.76,Byju's,Tuition fees,Education
6817.96,PharmEasy,Electricity bill,Health
5907.99,Google,Cab ride,Other
2844.9,Coursera,Electricity bill,Education
15500.8,Unacademy,Movie night,Education
11721.82,ICICI Bank,Online purchase,Rent
7454.14,IRCTC,Tuition fees,Travel
12648.25,Apollo,Tuition fees,Health
2880.65,BWSSB,Weekend trip,Utilities
12010.8,Swiggy,Monthly bill,Food
8322.42,Paytm,Flight booking,Rent
965.11,Jio,Tuition fees,Utilities
12849.95,BookMyShow,Recharge,Entertainment
11420.7,MakeMyTrip,Tuition fees,Travel
12616.0,Airtel,Rent payment,Utilities
8319.74,Myntra,Movie night,Shopping
1889.52,Coursera,Online purchase,Education
14311.12,Ajio,Electricity bill,Shopping
17532.49,Jio,Rent payment,Utilities
5878.01,Amazon,Flight booking,Shopping
8518.55,Cleartrip,Monthly bill,Travel
12443.35,Coursera,Pharmacy order,Education
11600.68,Uber,Dinner,Transport
18541.29,Udemy,Dinner,Education
11236.76,Paytm,Tuition fees,Rent
11795.13,Rapido,Online purchase,Transport
18419.2,Uber,Lunch,Transport
9269.04,Rapido,Movie night,Transport
15944.0,Apple,Online purchase,Other
505.63,MakeMyTrip,Streaming subscription,Travel
15115.31,Spotify,Flight booking,Entertainment
4988.52,Tata,Lunch,Other
279.33,McDonald's,Weekend trip,Food
6940.97,Udemy,Lunch,Education
12658.39,Paytm,Weekend trip,Rent
9752.81,Unacademy,Dinner,Education
18265.74,Amazon,Rent payment,Shopping
7819.33,Uber,Weekend trip,Transport
14464.39,BWSSB,Flight booking,Utilities
247.58,BESCOM,Grocery shopping,Utilities
12120.54,BookMyShow,Monthly bill,Entertainment
5781.24,Hotstar,Dinner,Entertainment
4598.76,Apollo,Pharmacy order,Health
10680.35,Uber,Rent payment,Transport
6507.06,McDonald's,Dinner,Food
12149.38,Swiggy,Streaming subscription,Food
3002.66,Ola,Weekend trip,Transport
18851.95,Airtel,Online purchase,Utilities
14186.97,Domino's,Grocery shopping,Food
8324.64,Udemy,Streaming subscription,Education
11465.27,BESCOM,Doctor appointment,Utilities
14064.9,BookMyShow,Rent payment,Entertainment
10092.11,SBI,Streaming subscription,Rent
10102.59,Flipkart,Tuition fees,Shopping
16492.57,IRCTC,Online purchase,Travel
6217.24,BESCOM,Rent payment,Utilities
2742.45,Netflix,Online purchase,Entertainment
16785.99,Byju's,Movie night,Education
17544.53,Udemy,Cab ride,Education
10511.09,Netflix,Rent payment,Entertainment
18086.95,Amazon,Doctor appointment,Shopping
1547.38,Goibibo,Online purchase,Travel
4110.7,Goibibo,Dinner,Travel
6515.06,Airtel,Rent payment,Utilities
5903.32,ICICI Bank,Recharge,Rent
10109.8,Ola,Lunch,Transport
4912.17,Cleartrip,Electricity bill,Travel
6843.18,Uber,Recharge,Transport
12020.98,Apollo,Dinner,Health
4567.7,Goibibo,Rent payment,Travel
1478.47,BookMyShow,Grocery shopping,Entertainment
2490.21,MedPlus,Monthly bill,Health
18708.8,ICICI Bank,Doctor appointment,Rent
5810.11,Rapido,Online purchase,Transport
12464.24,Zomato,Grocery shopping,Food
1961.66,BookMyShow,Rent payment,Entertainment
448.39,Domino's,Streaming subscription,Food
13098.02,Unacademy,Monthly bill,Education
250.55,KFC,Pharmacy order,Food
2236.92,HDFC Bank,Doctor appointment,Rent
19055.13,BWSSB,Weekend trip,Utilities
16980.5,Rapido,Streaming subscription,Transport
11273.77,1mg,Online purchase,Health
985.76,BookMyShow,Grocery shopping,Entertainment
1379.21,BWSSB,Movie night,Utilities
17701.36,Amazon,Tuition fees,Shopping
17111.79,Google,Weekend trip,Other
12333.61,Coursera,Rent payment,Education
8338.42,Apple,Tuition fees,Other
6851.09,SBI,Dinner,Rent
19735.62,KFC,Tuition fees,Food
16570.36,Goibibo,Grocery shopping,Travel
348.02,1mg,Lunch,Health
15188.32,Amazon,Tuition fees,Shopping
16525.86,Hotstar,Recharge,Entertainment
7841.59,Byju's,Streaming subscription,Education
14946.61,BESCOM,Lunch,Utilities
13257.53,Jio,Rent payment,Utilities
13310.14,Google,Cab ride,Other
18334.38,Spotify,Lunch,Entertainment
14736.56,Ajio,Online purchase,Shopping
15662.4,SBI,Pharmacy order,Rent
7942.09,SBI,Recharge,Rent
10101.98,HDFC Bank,Rent payment,Rent
17612.76,Spotify,Weekend trip,Entertainment
2411.86,Spotify,Dinner,Entertainment
2309.19,Airtel,Pharmacy order,Utilities
3435.57,Unacademy,Flight booking,Education
9162.29,Flipkart,Monthly bill,Shopping
3279.13,PharmEasy,Movie night,Health
4561.1,Ajio,Dinner,Shopping
3776.46,Goibibo,Dinner,Travel
7295.36,SBI,Movie night,Rent
18524.52,SBI,Flight booking,Rent
15959.56,BESCOM,Grocery shopping,Utilities
12078.24,Coursera,Movie night,Education
6889.57,Myntra,Rent payment,Shopping
1899.61,Rapido,Doctor appointment,Transport
5901.21,Myntra,Cab ride,Shopping
8445.74,MakeMyTrip,Pharmacy order,Travel
18006.74,Swiggy,Streaming subscription,Food
13716.77,HDFC Bank,Electricity bill,Rent
17130.36,Google,Online purchase,Other
6206.65,IRCTC,Electricity bill,Travel
1154.89,Amazon,Cab ride,Shopping
13398.21,Apple,Weekend trip,Other
3991.53,RedBus,Grocery shopping,Transport
8798.92,RedBus,Tuition fees,Transport
3749.83,Flipkart,Doctor appointment,Shopping
10331.44,Coursera,Flight booking,Education
1625.19,BookMyShow,Recharge,Entertainment
16433.74,IRCTC,Rent payment,Travel
8410.06,Hotstar,Lunch,Entertainment
6406.57,Ola,Pharmacy order,Transport
4573.72,SBI,Grocery shopping,Rent
13661.51,Swiggy,Movie night,Food
9602.39,Swiggy,Tuition fees,Food
17957.48,MedPlus,Grocery shopping,Health
1467.93,IRCTC,Recharge,Travel
15533.81,Amazon,Doctor appointment,Shopping
18359.78,IRCTC,Monthly bill,Travel
8093.01,Byju's,Electricity bill,Education
17536.87,Coursera,Pharmacy order,Education
11343.33,BESCOM,Tuition fees,Utilities
13069.37,Cleartrip,Movie night,Travel
2633.0,RedBus,Lunch,Transport
2020.61,Ola,Movie night,Transport
16347.78,Swiggy,Cab ride,Food
11342.73,Airtel,Pharmacy order,Utilities
17280.66,Cleartrip,Grocery shopping,Travel
17630.77,MakeMyTrip,Rent payment,Travel
16581.25,Udemy,Tuition fees,Education
5322.32,Hotstar,Cab ride,Entertainment
9659.94,Tata,Tuition fees,Other
11119.74,HDFC Bank,Dinner,Rent
6239.83,Hotstar,Tuition fees,Entertainment
4361.18,Spotify,Dinner,Entertainment
16172.34,RedBus,Tuition fees,Transport
19576.15,Myntra,Monthly bill,Shopping
12023.77,ICICI Bank,Rent payment,Rent
5367.13,Spotify,Electricity bill,Entertainment
5302.34,1mg,Streaming subscription,Health
12346.12,Zomato,Electricity bill,Food
11465.03,Coursera,Rent payment,Education
16753.12,Udemy,Recharge,Education
15270.51,Coursera,Tuition fees,Education
6392.64,Udemy,Dinner,Education
4209.25,Ajio,Pharmacy order,Shopping
10195.05,Ajio,Weekend trip,Shopping
12008.93,Microsoft,Tuition fees,Other
18740.78,Jio,Electricity bill,Utilities
19472.29,Spotify,Online purchase,Entertainment
5056.92,Flipkart,Doctor appointment,Shopping
2191.93,Rapido,Doctor appointment,Transport
10893.45,Jio,Monthly bill,Utilities
17749.23,Airtel,Lunch,Utilities
11045.78,MakeMyTrip,Recharge,Travel
13099.18,Hotstar,Cab ride,Entertainment
1821.31,Zomato,Monthly bill,Food
4840.72,Apollo,Weekend trip,Health
6214.94,Udemy,Monthly bill,Education
88.48,ICICI Bank,Grocery shopping,Rent
205.3,McDonald's,Pharmacy order,Food
19013.26,Udemy,Dinner,Education
4563.49,Google,Online purchase,Other
19613.3,Spotify,Pharmacy order,Entertainment
6601.92,PharmEasy,Flight booking,Health
17639.22,Swiggy,Lunch,Food
12836.5,Myntra,Tuition fees,Shopping
12618.26,Unacademy,Grocery shopping,Education
13095.6,Flipkart,Grocery shopping,Shopping
19514.11,Rapido,Doctor appointment,Transport
10256.94,BWSSB,Flight booking,Utilities
17769.51,ICICI Bank,Grocery shopping,Rent
8826.05,1mg,Cab ride,Health
10507.28,Spotify,Lunch,Entertainment
17003.7,Ola,Rent payment,Transport
3083.52,Netflix,Recharge,Entertainment
2038.53,RedBus,Electricity bill,Transport
10501.1,Tata,Movie night,Other
18701.24,RedBus,Tuition fees,Transport
15334.81,SBI,Weekend trip,Rent
6114.89,McDonald's,Streaming subscription,Food
7970.67,Apollo,Cab ride,Health
17796.59,Flipkart,Doctor appointment,Shopping
17391.14,Cleartrip,Electricity bill,Travel
15378.71,Ola,Flight booking,Transport
3353.4,Uber,Doctor appointment,Transport
821.71,MedPlus,Movie night,Health
15827.63,SBI,Rent payment,Rent
15132.78,1mg,Online purchase,Health
8432.53,Coursera,Lunch,Education
16512.92,RedBus,Movie night,Transport
4975.21,Flipkart,Monthly bill,Shopping
6802.37,McDonald's,Movie night,Food
3381.97,Zomato,Pharmacy order,Food
16171.42,Byju's,Tuition fees,Education
19306.23,Myntra,Flight booking,Shopping
8164.75,Airtel,Tuition fees,Utilities
19960.52,MakeMyTrip,Electricity bill,Travel
1169.04,MedPlus,Electricity bill,Health
13877.42,Goibibo,Online purchase,Travel
17868.19,Swiggy,Monthly bill,Food
14906.84,PharmEasy,Flight booking,Health
9314.26,Coursera,Rent payment,Education
732.78,PharmEasy,Flight booking,Health
17565.06,Udemy,Lunch,Education
3117.25,Paytm,Doctor appointment,Rent
11941.19,Ajio,Pharmacy order,Shopping
17574.17,Byju's,Movie night,Education
15757.42,Paytm,Electricity bill,Rent
9791.79,Unacademy,Grocery shopping,Education
10102.54,Apollo,Dinner,Health
5841.15,Netflix,Dinner,Entertainment
16444.29,RedBus,Lunch,Transport
5212.92,1mg,Monthly bill,Health
18753.87,Netflix,Tuition fees,Entertainment
12820.21,Coursera,Monthly bill,Education
14474.95,ICICI Bank,Electricity bill,Rent
7036.34,Airtel,Tuition fees,Utilities
15424.27,Apollo,Grocery shopping,Health
19761.85,HDFC Bank,Lunch,Rent
10374.96,BWSSB,Doctor appointment,Utilities
140.79,Netflix,Online purchase,Entertainment
9260.08,BESCOM,Lunch,Utilities
5753.24,Airtel,Weekend trip,Utilities
4468.86,BookMyShow,Cab ride,Entertainment
3543.66,MakeMyTrip,Dinner,Travel
7079.44,BESCOM,Recharge,Utilities
5689.73,Jio,Tuition fees,Utilities
3509.64,Netflix,Movie night,Entertainment
6744.58,Airtel,Rent payment,Utilities
13881.53,Coursera,Monthly bill,Education
18696.48,Uber,Tuition fees,Transport
247.54,Apollo,Doctor appointment,Health
7650.41,Coursera,Rent payment,Education
8283.73,Rapido,Lunch,Transport
3039.39,HDFC Bank,Lunch,Rent
3876.43,RedBus,Movie night,Transport
1378.84,HDFC Bank,Dinner,Rent
10079.66,Apollo,Doctor appointment,Health
14827.14,PharmEasy,Movie night,Health
14726.67,McDonald's,Grocery shopping,Food
15010.82,Ola,Online purchase,Transport
14673.55,Jio,Flight booking,Utilities
4033.11,Goibibo,Streaming subscription,Travel
11731.43,Udemy,Dinner,Education
4102.39,Google,Streaming subscription,Other
10834.89,Unacademy,Doctor appointment,Education
2405.19,Netflix,Dinner,Entertainment
11166.86,Uber,Weekend trip,Transport
11379.23,Swiggy,Dinner,Food
2712.66,Myntra,Rent payment,Shopping
17724.36,Flipkart,Online purchase,Shopping
16504.25,Paytm,Grocery shopping,Rent
4160.05,Goibibo,Tuition fees,Travel
13133.73,Flipkart,Doctor appointment,Shopping
1662.04,BWSSB,Pharmacy order,Utilities
3977.76,Google,Online purchase,Other
5549.65,Goibibo,Electricity bill,Travel
1695.23,Ajio,Streaming subscription,Shopping
18688.65,BESCOM,Lunch,Utilities
13653.89,Domino's,Dinner,Food
18656.57,Byju's,Weekend trip,Education
18976.85,Uber,Recharge,Transport
5964.4,Zomato,Pharmacy order,Food
10321.15,Amazon,Pharmacy order,Shopping
12827.9,BWSSB,Rent payment,Utilities
17804.43,HDFC Bank,Grocery shopping,Rent
13968.25,Netflix,Movie night,Entertainment
9793.86,HDFC Bank,Monthly bill,Rent
8741.32,Rapido,Tuition fees,Transport
1504.1,Zomato,Electricity bill,Food
8638.39,Spotify,Tuition fees,Entertainment
11305.07,Spotify,Tuition fees,Entertainment
13693.07,Flipkart,Dinner,Shopping
17142.8,Microsoft,Dinner,Other
14101.56,Microsoft,Flight booking,Other
16442.89,HDFC Bank,Rent payment,Rent
9344.81,MakeMyTrip,Grocery shopping,Travel
449.49,Myntra,Grocery shopping,Shopping
9839.12,Uber,Dinner,Transport
1385.49,MakeMyTrip,Online purchase,Travel
14246.89,HDFC Bank,Monthly bill,Rent
14106.73,Paytm,Pharmacy order,Rent
9602.59,Amazon,Pharmacy order,Shopping
3784.04,Google,Movie night,Other
2991.97,Goibibo,Flight booking,Travel
13620.87,Flipkart,Flight booking,Shopping
16831.99,Spotify,Cab ride,Entertainment
5846.09,Swiggy,Monthly bill,Food
18528.86,HDFC Bank,Lunch,Rent
19722.11,Amazon,Tuition fees,Shopping
14363.41,Tata,Pharmacy order,Other
12122.8,Swiggy,Recharge,Food
11309.26,ICICI Bank,Grocery shopping,Rent
1902.62,Paytm,Weekend trip,Rent
1280.44,MakeMyTrip,Flight booking,Travel
6803.71,Unacademy,Doctor appointment,Education
222.1,ICICI Bank,Flight booking,Rent
17236.89,Ajio,Streaming subscription,Shopping
15678.35,Coursera,Dinner,Education
16675.75,Cleartrip,Dinner,Travel
7269.79,Apollo,Flight booking,Health
18770.55,Google,Weekend trip,Other
10600.23,Byju's,Movie night,Education
1638.31,Jio,Recharge,Utilities
13375.53,Apple,Weekend trip,Other
5111.19,Myntra,Pharmacy order,Shopping
12094.1,Hotstar,Cab ride,Entertainment
7765.48,Flipkart,Doctor appointment,Shopping
15640.1,BookMyShow,Dinner,Entertainment
