amount,merchant,description,category
2359.62,Tata Power,internet at Tata Power,Utilities
1480.59,Coursera,course fee at Coursera,Education
2081.04,Uber,train ticket at Uber,Travel
247.4,Flipkart,footwear at Flipkart,Shopping
919.63,Netflix,concert at Netflix,Entertainment
648.99,Google Pay,payment at Google Pay,Others
147.7,Ola,train ticket at Ola,Travel
998.68,Airtel,gas bill at Airtel,Utilities
3802.53,Ajio,clothes at Ajio,Shopping
61.33,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
516.83,Tata Power,electricity bill at Tata Power,Utilities
348.92,Unacademy,subscription at Unacademy,Education
408,DMart,monthly ration at DMart,Groceries
3586.05,Big Bazaar,monthly ration at Big Bazaar,Groceries
946.86,More Supermarket,monthly ration at More Supermarket,Groceries
941.88,Barbeque Nation,lunch at Barbeque Nation,Dining
2144.28,Google Pay,payment at Google Pay,Others
251.73,1mg,health checkup at 1mg,Healthcare
1002,More Supermarket,bread at More Supermarket,Groceries
843.14,Mahanagar Gas,internet at Mahanagar Gas,Utilities
1362.9,Google Pay,payment at Google Pay,Others
11585.29,RedBus,cab fare at RedBus,Travel
2200.92,Flipkart,ELECTRONICS AT FLIPKART,Shopping
760.91,Tata Power,mobile recharge at Tata Power,Utilities
2636.5,Netflix,games at Netflix,Entertainment
280.78,Swiggy,food delivery at Swiggy,Dining
46.41,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
343.08,IRCTC,train ticket at IRCTC,Travel
624.21,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
1071.8,Myntra,footwear at Myntra,Shopping
1432.27,Myntra,clothes at Myntra,Shopping
3622.05,BookMyShow,concert at BookMyShow,Entertainment
1069.58,Indian Oil,petrol at Indian Oil,Fuel
1043.55,PractO,health checkup at PractO,Healthcare
77.32,Domino's,food delivery at Domino's,Dining
53.3,Unacademy,course fee at Unacademy,Education
1201.63,bharat petroleum,petrol at Bharat Petroleum,Fuel
864.86,uber,flight at Uber,Travel
2741.21,PractO,medicine at PractO,Healthcare
262.74,BookMyShow,games at BookMyShow,Entertainment
37.93,Indian Oil,diesel at Indian Oil,Fuel
894.14,BYJU'S,study material at BYJU'S,Education
406.69,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
76.33,netmeds,medicine at Netmeds,Healthcare
1934.29,BESCOM,MOBILE RECHARGE AT BESCOM,Utilities
177.49,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
1405.96,Google Pay,recharge at Google Pay,Others
494.94,Paytm,transfer at Paytm,Others
285.83,Netmeds,doctor visit at Netmeds,Healthcare
716.45,RedBus,cab fare at RedBus,Travel
2425.04,PhonePe,transfer at PhonePe,Others
746.6,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
2084.07,BESCOM,electricity bill at BESCOM,Utilities
201.13,Barbeque Nation,snack at Barbeque Nation,Dining
2222.7,BookMyShow,movie at BookMyShow,Entertainment
405.61,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
1696.98,PhonePe,PAYMENT AT PHONEPE,Others
1251.31,Google Pay,transfer at Google Pay,Others
3970.67,Spotify,games at Spotify,Entertainment
734.87,IRCTC,cab fare at IRCTC,Travel
102.68,Vedantu,course fee at Vedantu,Education
29.01,PractO,consultation at PractO,Healthcare
2630.47,Tata Power,internet at Tata Power,Utilities
1115.83,BESCOM,mobile recharge at BESCOM,Utilities
2239.11,Ola,cab fare at Ola,Travel
400.69,Myntra,clothes at Myntra,Shopping
634.87,BESCOM,ELECTRICITY BILL AT BESCOM,Utilities
45.85,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
4885.35,Ajio,footwear at Ajio,Shopping
1653.33,PractO,health checkup at PractO,Healthcare
4059.19,1mg,consultation at 1mg,Healthcare
462.84,Hotstar,MOVIE AT HOTSTAR,Entertainment
1418.05,Uber,flight at Uber,Travel
1702.14,IRCTC,bus ticket at IRCTC,Travel
573.1,Google Pay,payment at Google Pay,Others
2826.89,Airtel,gas bill at Airtel,Utilities
4410.77,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
3242.35,Coursera,course fee at Coursera,Education
2015.24,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
487.48,Indian Oil,fuel refill at Indian Oil,Fuel
496.13,more supermarket,vegetables at More Supermarket,Groceries
4959.94,Indian Oil,diesel at Indian Oil,Fuel
15.51,Flipkart,electronics at Flipkart,Shopping
1888.44,Uber,cab fare at Uber,Travel
1837.52,Netflix,movie at Netflix,Entertainment
1462.03,Reliance Fresh,bread at Reliance Fresh,Groceries
6924.17,Reliance Fresh,bread at Reliance Fresh,Groceries
560.69,BookMyShow,games at BookMyShow,Entertainment
623.21,IRCTC,bus ticket at IRCTC,Travel
123.34,BESCOM,mobile recharge at BESCOM,Utilities
877.24,Ola,bus ticket at Ola,Travel
453.78,Coursera,course fee at Coursera,Education
630.99,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
2698.83,Google Pay,payment at Google Pay,Others
4111.27,BYJU'S,subscription at BYJU'S,Education
308.2,netmeds,health checkup at Netmeds,Healthcare
699.04,Big Bazaar,monthly ration at Big Bazaar,Groceries
3959.83,Coursera,study material at Coursera,Education
95.7,Ajio,footwear at Ajio,Shopping
145.36,Netflix,games at Netflix,Entertainment
266.52,DMart,monthly ration at DMart,Groceries
1356.59,Unacademy,course fee at Unacademy,Education
244.61,mahanagar gas,MOBILE RECHARGE AT MAHANAGAR GAS,Utilities
5166.61,Myntra,footwear at Myntra,Shopping
887.82,Vedantu,study material at Vedantu,Education
1044.28,Big Bazaar,monthly ration at Big Bazaar,Groceries
424.86,DMart,vegetables at DMart,Groceries
955.04,Vedantu,course fee at Vedantu,Education
1626.68,Reliance Fresh,bread at Reliance Fresh,Groceries
2086.52,Hotstar,subscription at Hotstar,Entertainment
2102.83,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
1293.74,Netmeds,medicine at Netmeds,Healthcare
3520.74,Google Pay,transfer at Google Pay,Others
2550.75,BESCOM,gas bill at BESCOM,Utilities
2122.34,PractO,doctor visit at PractO,Healthcare
85.82,Myntra,electronics at Myntra,Shopping
10.35,Google Pay,recharge at Google Pay,Others
358.24,Domino's,food delivery at Domino's,Dining
1633.84,DMart,milk at DMart,Groceries
794.5,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
772.27,Google Pay,transfer at Google Pay,Others
3238.86,RedBus,cab fare at RedBus,Travel
3388.75,indian oil,diesel at Indian Oil,Fuel
3598.24,Paytm,transfer at Paytm,Others
565.05,Big Bazaar,vegetables at Big Bazaar,Groceries
1761.89,1mg,doctor visit at 1mg,Healthcare
475.43,Spotify,movie at Spotify,Entertainment
317.21,Mahanagar Gas,internet at Mahanagar Gas,Utilities
306.17,Indian Oil,fuel refill at Indian Oil,Fuel
628.07,Spotify,games at Spotify,Entertainment
843.07,Netflix,movie at Netflix,Entertainment
2666.33,1mg,CONSULTATION AT 1MG,Healthcare
191.56,Big Bazaar,milk at Big Bazaar,Groceries
1991.62,Myntra,electronics at Myntra,Shopping
1137.18,Hotstar,movie at Hotstar,Entertainment
509.4,1mg,medicine at 1mg,Healthcare
1018.33,Paytm,recharge at Paytm,Others
534.89,Reliance Fresh,vegetables at Reliance Fresh,Groceries
1359.81,Netflix,games at Netflix,Entertainment
853.33,BYJU'S,course fee at BYJU'S,Education
269.42,BESCOM,gas bill at BESCOM,Utilities
185.94,Netmeds,medicine at Netmeds,Healthcare
1186.79,Indian Oil,PETROL AT INDIAN OIL,Fuel
3490.52,Indian Oil,petrol at Indian Oil,Fuel
632.29,Hotstar,games at Hotstar,Entertainment
1980.76,Reliance Fresh,bread at Reliance Fresh,Groceries
1612.32,Uber,train ticket at Uber,Travel
4022.59,swiggy,snack at Swiggy,Dining
2580.4,BYJU'S,study material at BYJU'S,Education
1254.16,Reliance Fresh,bread at Reliance Fresh,Groceries
1605.17,Barbeque Nation,dinner at Barbeque Nation,Dining
3429.87,Barbeque Nation,food delivery at Barbeque Nation,Dining
765.04,Ajio,electronics at Ajio,Shopping
593.56,Domino's,food delivery at Domino's,Dining
16.3,Domino's,dinner at Domino's,Dining
2627.81,Vedantu,study material at Vedantu,Education
2421.53,Mahanagar Gas,MOBILE RECHARGE AT MAHANAGAR GAS,Utilities
165.48,Big Bazaar,vegetables at Big Bazaar,Groceries
1290.07,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
935.38,RedBus,train ticket at RedBus,Travel
189.55,Vedantu,subscription at Vedantu,Education
5911.27,Uber,flight at Uber,Travel
362.53,big bazaar,monthly ration at Big Bazaar,Groceries
104.4,BYJU'S,study material at BYJU'S,Education
1355.24,Spotify,subscription at Spotify,Entertainment
2014.09,DMart,milk at DMart,Groceries
49.47,PhonePe,recharge at PhonePe,Others
1612.57,Unacademy,subscription at Unacademy,Education
1139.87,Ola,flight at Ola,Travel
163.49,Zomato,food delivery at Zomato,Dining
284.06,Spotify,concert at Spotify,Entertainment
1258.91,1mg,doctor visit at 1mg,Healthcare
527.23,Uber,bus ticket at Uber,Travel
4178.59,BESCOM,mobile recharge at BESCOM,Utilities
2561.74,IRCTC,cab fare at IRCTC,Travel
6162.71,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
450.99,bookmyshow,movie at BookMyShow,Entertainment
5246.08,DMart,monthly ration at DMart,Groceries
846.43,Ajio,CLOTHES AT AJIO,Shopping
640.46,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
77.49,Google Pay,recharge at Google Pay,Others
81.31,PractO,health checkup at PractO,Healthcare
1766.54,Tata Power,electricity bill at Tata Power,Utilities
918.54,Netmeds,consultation at Netmeds,Healthcare
385.29,Flipkart,home decor at Flipkart,Shopping
1427.76,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
437.25,Swiggy,dinner at Swiggy,Dining
1292.82,Swiggy,lunch at Swiggy,Dining
667.58,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
2602.1,Hotstar,SUBSCRIPTION AT HOTSTAR,Entertainment
2578.01,Unacademy,subscription at Unacademy,Education
973.27,1mg,consultation at 1mg,Healthcare
648.07,Zomato,lunch at Zomato,Dining
675.44,Flipkart,electronics at Flipkart,Shopping
2457.64,Zomato,dinner at Zomato,Dining
596.65,Paytm,payment at Paytm,Others
351.8,Zomato,lunch at Zomato,Dining
132.74,Zomato,dinner at Zomato,Dining
942.99,Mahanagar Gas,internet at Mahanagar Gas,Utilities
987.05,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
2757.42,Ola,train ticket at Ola,Travel
375.08,DMart,milk at DMart,Groceries
719.45,Indian Oil,diesel at Indian Oil,Fuel
2478.56,Netmeds,medicine at Netmeds,Healthcare
2602.7,PhonePe,recharge at PhonePe,Others
728.25,Paytm,recharge at Paytm,Others
921.85,HP Petrol Pump,DIESEL AT HP PETROL PUMP,Fuel
542.07,Ola,cab fare at Ola,Travel
4044.66,RedBus,train ticket at RedBus,Travel
189.44,Hotstar,games at Hotstar,Entertainment
4071.47,Flipkart,clothes at Flipkart,Shopping
1727.39,Ajio,home decor at Ajio,Shopping
1137.56,Airtel,electricity bill at Airtel,Utilities
49.81,Barbeque Nation,food delivery at Barbeque Nation,Dining
968.24,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
785.73,Barbeque Nation,dinner at Barbeque Nation,Dining
263.71,Myntra,clothes at Myntra,Shopping
1602.46,Mahanagar Gas,internet at Mahanagar Gas,Utilities
5318.52,Netflix,concert at Netflix,Entertainment
1238.95,Tata Power,gas bill at Tata Power,Utilities
1881.6,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
106.36,Google Pay,recharge at Google Pay,Others
811.07,Ajio,electronics at Ajio,Shopping
185.56,Tata Power,mobile recharge at Tata Power,Utilities
1423.2,Ola,train ticket at Ola,Travel
4182.64,Paytm,transfer at Paytm,Others
1626.08,Hotstar,movie at Hotstar,Entertainment
119.87,Barbeque Nation,lunch at Barbeque Nation,Dining
656.98,Tata Power,internet at Tata Power,Utilities
1199.97,Google Pay,transfer at Google Pay,Others
774.28,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
2690.44,Barbeque Nation,food delivery at Barbeque Nation,Dining
2528.43,Reliance Fresh,milk at Reliance Fresh,Groceries
1419.47,Zomato,dinner at Zomato,Dining
701.31,1mg,health checkup at 1mg,Healthcare
442.23,BESCOM,electricity bill at BESCOM,Utilities
167.86,Ajio,clothes at Ajio,Shopping
657.52,Ola,bus ticket at Ola,Travel
799.54,Flipkart,footwear at Flipkart,Shopping
1689.7,Hotstar,games at Hotstar,Entertainment
1610.12,Unacademy,course fee at Unacademy,Education
109.03,Uber,train ticket at Uber,Travel
754.43,BESCOM,gas bill at BESCOM,Utilities
300.93,Paytm,payment at Paytm,Others
255.85,Ola,flight at Ola,Travel
2634.32,Swiggy,lunch at Swiggy,Dining
64.23,Ola,train ticket at Ola,Travel
814.98,PhonePe,recharge at PhonePe,Others
276.25,Uber,cab fare at Uber,Travel
3172.05,Ola,train ticket at Ola,Travel
1221.42,Uber,TRAIN TICKET AT UBER,Travel
394.74,Hotstar,subscription at Hotstar,Entertainment
1047.02,RedBus,flight at RedBus,Travel
1972.28,Paytm,recharge at Paytm,Others
4759.35,Airtel,gas bill at Airtel,Utilities
373.55,DMart,bread at DMart,Groceries
3259.73,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
4084.08,Airtel,gas bill at Airtel,Utilities
3722.94,BookMyShow,concert at BookMyShow,Entertainment
1513.49,Airtel,mobile recharge at Airtel,Utilities
1490.65,Ola,flight at Ola,Travel
774.29,Indian Oil,petrol at Indian Oil,Fuel
2093.9,DMart,bread at DMart,Groceries
1136.67,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
1697.19,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
839.13,Netflix,concert at Netflix,Entertainment
1972.34,Reliance Fresh,bread at Reliance Fresh,Groceries
2609.93,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
237.5,Swiggy,snack at Swiggy,Dining
2684.01,Zomato,dinner at Zomato,Dining
1165.76,Bharat Petroleum,PETROL AT BHARAT PETROLEUM,Fuel
2793.27,Indian Oil,petrol at Indian Oil,Fuel
846.61,Tata Power,gas bill at Tata Power,Utilities
714.73,Paytm,payment at Paytm,Others
3698.73,Barbeque Nation,food delivery at Barbeque Nation,Dining
433.86,ola,cab fare at Ola,Travel
2788.89,Flipkart,clothes at Flipkart,Shopping
992.53,Reliance Fresh,VEGETABLES AT RELIANCE FRESH,Groceries
1082.61,PractO,health checkup at PractO,Healthcare
553.27,DMart,vegetables at DMart,Groceries
1276.61,Ola,train ticket at Ola,Travel
590.03,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
60.09,Reliance Fresh,bread at Reliance Fresh,Groceries
476.18,Flipkart,home decor at Flipkart,Shopping
10,Tata Power,electricity bill at Tata Power,Utilities
5749.46,Hotstar,games at Hotstar,Entertainment
5060.98,IRCTC,bus ticket at IRCTC,Travel
754.18,Reliance Fresh,VEGETABLES AT RELIANCE FRESH,Groceries
1954.98,Coursera,course fee at Coursera,Education
636.53,Hotstar,SUBSCRIPTION AT HOTSTAR,Entertainment
1667.97,Ola,cab fare at Ola,Travel
2455.45,Airtel,gas bill at Airtel,Utilities
4399.31,Netmeds,health checkup at Netmeds,Healthcare
766.77,Spotify,movie at Spotify,Entertainment
2293.85,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
463.72,Tata Power,mobile recharge at Tata Power,Utilities
6958.45,PhonePe,RECHARGE AT PHONEPE,Others
39.16,IRCTC,train ticket at IRCTC,Travel
1387.73,Paytm,payment at Paytm,Others
1616.04,DMart,bread at DMart,Groceries
1747.35,Netflix,subscription at Netflix,Entertainment
192.41,Domino's,lunch at Domino's,Dining
4183.8,Paytm,recharge at Paytm,Others
299.84,PhonePe,recharge at PhonePe,Others
1462.28,Myntra,home decor at Myntra,Shopping
377.85,RedBus,flight at RedBus,Travel
550.56,BookMyShow,games at BookMyShow,Entertainment
1186,Tata Power,electricity bill at Tata Power,Utilities
809.85,Vedantu,subscription at Vedantu,Education
261.93,BYJU'S,subscription at BYJU'S,Education
281.19,More Supermarket,bread at More Supermarket,Groceries
812.3,PractO,consultation at PractO,Healthcare
2123.79,More Supermarket,bread at More Supermarket,Groceries
3423.65,Vedantu,subscription at Vedantu,Education
131.82,Netflix,subscription at Netflix,Entertainment
749.1,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
158.45,BookMyShow,subscription at BookMyShow,Entertainment
25.1,Indian Oil,petrol at Indian Oil,Fuel
1625.82,BookMyShow,concert at BookMyShow,Entertainment
1383.65,DMart,milk at DMart,Groceries
266.93,Myntra,home decor at Myntra,Shopping
399.49,Indian Oil,fuel refill at Indian Oil,Fuel
35.99,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
2702.23,Indian Oil,petrol at Indian Oil,Fuel
5514.87,Myntra,footwear at Myntra,Shopping
218.34,Hotstar,subscription at Hotstar,Entertainment
394.92,Spotify,movie at Spotify,Entertainment
3042.09,Amazon,electronics at Amazon,Shopping
3914.97,Paytm,PAYMENT AT PAYTM,Others
816.13,Airtel,mobile recharge at Airtel,Utilities
77.92,DMart,bread at DMart,Groceries
60.28,More Supermarket,MILK AT MORE SUPERMARKET,Groceries
1279.8,Big Bazaar,vegetables at Big Bazaar,Groceries
748.58,Tata Power,internet at Tata Power,Utilities
43.61,Barbeque Nation,lunch at Barbeque Nation,Dining
1312.91,BESCOM,gas bill at BESCOM,Utilities
17.05,Netflix,movie at Netflix,Entertainment
2322.32,DMart,bread at DMart,Groceries
548.86,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
61.64,1mg,doctor visit at 1mg,Healthcare
1331.38,Big Bazaar,bread at Big Bazaar,Groceries
760.46,uber,cab fare at Uber,Travel
5463.02,More Supermarket,vegetables at More Supermarket,Groceries
1178.55,Netflix,subscription at Netflix,Entertainment
482.87,Netmeds,medicine at Netmeds,Healthcare
1853.91,Spotify,games at Spotify,Entertainment
475.14,Coursera,course fee at Coursera,Education
3518.92,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
704.34,Flipkart,footwear at Flipkart,Shopping
1197.32,Coursera,course fee at Coursera,Education
77.85,BESCOM,mobile recharge at BESCOM,Utilities
833.01,BookMyShow,concert at BookMyShow,Entertainment
2678.94,Amazon,home decor at Amazon,Shopping
2457.13,Big Bazaar,milk at Big Bazaar,Groceries
381.02,Big Bazaar,monthly ration at Big Bazaar,Groceries
384.43,Domino's,lunch at Domino's,Dining
2549.91,Netmeds,medicine at Netmeds,Healthcare
3997.45,PractO,consultation at PractO,Healthcare
150.33,Reliance Fresh,milk at Reliance Fresh,Groceries
896.92,apollo pharmacy,medicine at Apollo Pharmacy,Healthcare
617.5,BookMyShow,concert at BookMyShow,Entertainment
3068.3,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
130.83,Netmeds,consultation at Netmeds,Healthcare
355.72,Netflix,games at Netflix,Entertainment
2094.33,Amazon,home decor at Amazon,Shopping
78.98,Amazon,clothes at Amazon,Shopping
1017.49,Airtel,internet at Airtel,Utilities
875.38,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
610.6,Ola,flight at Ola,Travel
752.73,Reliance Fresh,vegetables at Reliance Fresh,Groceries
1132.34,Reliance Fresh,vegetables at Reliance Fresh,Groceries
263.97,Paytm,recharge at Paytm,Others
1272.93,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
2455.46,PhonePe,recharge at PhonePe,Others
2141.68,Netflix,games at Netflix,Entertainment
250.68,Reliance Fresh,milk at Reliance Fresh,Groceries
242.45,Vedantu,study material at Vedantu,Education
468.32,Swiggy,dinner at Swiggy,Dining
671.95,BYJU'S,course fee at BYJU'S,Education
787.53,Google Pay,recharge at Google Pay,Others
1707.73,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
87.53,Domino's,food delivery at Domino's,Dining
52.93,IRCTC,cab fare at IRCTC,Travel
746.15,Vedantu,study material at Vedantu,Education
1791.84,Netmeds,medicine at Netmeds,Healthcare
322.46,Ola,flight at Ola,Travel
1538.76,Coursera,subscription at Coursera,Education
451.31,Flipkart,electronics at Flipkart,Shopping
3258.47,PhonePe,transfer at PhonePe,Others
3390.58,Netmeds,medicine at Netmeds,Healthcare
529.21,Paytm,transfer at Paytm,Others
392.03,1mg,consultation at 1mg,Healthcare
794.77,Spotify,games at Spotify,Entertainment
412.7,apollo pharmacy,consultation at Apollo Pharmacy,Healthcare
1673.87,BESCOM,mobile recharge at BESCOM,Utilities
2623.61,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
1677.12,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
2608.9,Spotify,concert at Spotify,Entertainment
758.74,More Supermarket,bread at More Supermarket,Groceries
254.97,IRCTC,cab fare at IRCTC,Travel
2008.84,Ola,bus ticket at Ola,Travel
670.54,DMart,bread at DMart,Groceries
1668.78,Coursera,subscription at Coursera,Education
473.39,Ajio,home decor at Ajio,Shopping
127.08,Vedantu,subscription at Vedantu,Education
7355.73,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
254.76,Mahanagar Gas,electricity bill at Mahanagar Gas,Utilities
6687.84,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
5676.76,Netflix,games at Netflix,Entertainment
2368.49,Indian Oil,fuel refill at Indian Oil,Fuel
1615.67,Zomato,food delivery at Zomato,Dining
1293.44,Hotstar,games at Hotstar,Entertainment
3016.01,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
512.55,Spotify,concert at Spotify,Entertainment
945.77,indian oil,fuel refill at Indian Oil,Fuel
1448.97,Flipkart,electronics at Flipkart,Shopping
794.48,Airtel,mobile recharge at Airtel,Utilities
836.58,BYJU'S,subscription at BYJU'S,Education
601.35,1mg,consultation at 1mg,Healthcare
1245.97,Vedantu,study material at Vedantu,Education
2851.44,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
337.58,PractO,medicine at PractO,Healthcare
4087.03,Google Pay,payment at Google Pay,Others
1752.37,Flipkart,footwear at Flipkart,Shopping
2599.73,swiggy,dinner at Swiggy,Dining
1218.54,Coursera,course fee at Coursera,Education
2267.9,Paytm,PAYMENT AT PAYTM,Others
24.5,Netflix,concert at Netflix,Entertainment
2558.76,DMart,monthly ration at DMart,Groceries
61.45,Uber,flight at Uber,Travel
3309.73,Myntra,footwear at Myntra,Shopping
7235.5,Reliance Fresh,vegetables at Reliance Fresh,Groceries
522.35,Barbeque Nation,dinner at Barbeque Nation,Dining
354.19,Swiggy,snack at Swiggy,Dining
2174.58,Netflix,movie at Netflix,Entertainment
437.59,Barbeque Nation,snack at Barbeque Nation,Dining
3009.98,Spotify,subscription at Spotify,Entertainment
162.79,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
201.94,Unacademy,subscription at Unacademy,Education
5805.71,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
1680.55,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
2814.87,Google Pay,transfer at Google Pay,Others
588.07,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
1692.76,Google Pay,transfer at Google Pay,Others
1353,Big Bazaar,milk at Big Bazaar,Groceries
1386.3,Tata Power,internet at Tata Power,Utilities
1721.07,RedBus,flight at RedBus,Travel
1284.77,Indian Oil,petrol at Indian Oil,Fuel
840.71,BESCOM,gas bill at BESCOM,Utilities
484.29,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
2195.29,Google Pay,recharge at Google Pay,Others
384.8,Paytm,RECHARGE AT PAYTM,Others
1768.21,Tata Power,mobile recharge at Tata Power,Utilities
398.55,Ola,flight at Ola,Travel
1472.57,Barbeque Nation,dinner at Barbeque Nation,Dining
2062.01,Paytm,RECHARGE AT PAYTM,Others
370.22,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
92.72,IRCTC,flight at IRCTC,Travel
210.57,More Supermarket,monthly ration at More Supermarket,Groceries
1397.1,indian oil,petrol at Indian Oil,Fuel
2840.15,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
69.06,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
1987.24,Ola,train ticket at Ola,Travel
626.27,Ola,bus ticket at Ola,Travel
976.65,BookMyShow,movie at BookMyShow,Entertainment
3964.65,Coursera,course fee at Coursera,Education
605.14,Uber,flight at Uber,Travel
939.18,mahanagar gas,gas bill at Mahanagar Gas,Utilities
20.67,Indian Oil,fuel refill at Indian Oil,Fuel
127.68,Hotstar,subscription at Hotstar,Entertainment
448.81,IRCTC,bus ticket at IRCTC,Travel
42.37,1mg,consultation at 1mg,Healthcare
1496.96,BESCOM,electricity bill at BESCOM,Utilities
833.73,Ajio,footwear at Ajio,Shopping
1191.59,Barbeque Nation,lunch at Barbeque Nation,Dining
287.92,hotstar,concert at Hotstar,Entertainment
526.32,Vedantu,course fee at Vedantu,Education
1635.18,Domino's,food delivery at Domino's,Dining
5041.64,IRCTC,train ticket at IRCTC,Travel
77.6,DMart,monthly ration at DMart,Groceries
3316.16,Reliance Fresh,vegetables at Reliance Fresh,Groceries
1290.15,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
1244.89,Airtel,mobile recharge at Airtel,Utilities
1040.56,Myntra,home decor at Myntra,Shopping
107.88,DMart,milk at DMart,Groceries
141.26,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
1377.86,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
625.45,Unacademy,study material at Unacademy,Education
3738.22,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
782.81,BookMyShow,movie at BookMyShow,Entertainment
231.97,DMart,vegetables at DMart,Groceries
1881.42,PractO,medicine at PractO,Healthcare
520.84,Hotstar,movie at Hotstar,Entertainment
1118.15,Ola,cab fare at Ola,Travel
1795.16,Netmeds,consultation at Netmeds,Healthcare
3457.84,Barbeque Nation,dinner at Barbeque Nation,Dining
2356.71,Myntra,electronics at Myntra,Shopping
1692.19,Unacademy,course fee at Unacademy,Education
1707.43,Zomato,DINNER AT ZOMATO,Dining
4376.07,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
526.09,Swiggy,dinner at Swiggy,Dining
10,Amazon,electronics at Amazon,Shopping
476.09,Unacademy,study material at Unacademy,Education
368.64,Spotify,games at Spotify,Entertainment
1626.33,Uber,flight at Uber,Travel
1506.5,Domino's,lunch at Domino's,Dining
1350.11,Vedantu,course fee at Vedantu,Education
24.57,Zomato,snack at Zomato,Dining
1957.23,Swiggy,dinner at Swiggy,Dining
586.3,Ajio,electronics at Ajio,Shopping
1640.69,Indian Oil,diesel at Indian Oil,Fuel
1219.85,PractO,medicine at PractO,Healthcare
629.49,Netflix,concert at Netflix,Entertainment
216.8,BYJU'S,study material at BYJU'S,Education
148.77,Google Pay,recharge at Google Pay,Others
2671.39,Mahanagar Gas,internet at Mahanagar Gas,Utilities
3758.84,Unacademy,course fee at Unacademy,Education
1573.83,Paytm,payment at Paytm,Others
163.78,Coursera,study material at Coursera,Education
771.32,More Supermarket,milk at More Supermarket,Groceries
1958.12,Ola,cab fare at Ola,Travel
2269.97,Uber,train ticket at Uber,Travel
188.72,Spotify,concert at Spotify,Entertainment
10,PhonePe,transfer at PhonePe,Others
1867.91,Google Pay,transfer at Google Pay,Others
661.47,DMart,monthly ration at DMart,Groceries
440.51,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
19.47,1mg,doctor visit at 1mg,Healthcare
1165.77,Netmeds,medicine at Netmeds,Healthcare
2857.23,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
4742.03,Airtel,electricity bill at Airtel,Utilities
1251.18,RedBus,bus ticket at RedBus,Travel
